Author;Study;RR;Medium;Pages;Items;Time (min.);Follow-ups;Promtrate;Complexity;Incentive Amount;Incentive Type;Lottery Amount;Time of payment;Vocation;Priorconcent
Akl E. A.;\cite{akl2005electronic};63.3;Website;-;28;-;2;10;Likert scale;None;None;;n/a;Resident;Consent
Akl E. A.;\cite{akl2005electronic};79.7;Printed;-;28;-;2;10;Likert scale;None;None;;n/a;Resident;Consent
Akl E. A.;\cite{akl2005electronic};85.4;Website;-;23;-;2;10;Likert scale;None;None;;n/a;Resident;Consent
Akl E. A.;\cite{akl2005electronic};81.0;Printed;-;23;-;2;10;Likert scale;None;None;;n/a;Resident;Consent
Asch D.A.;\cite{asch1994envelope};34.1;Printed;-;-;-;0;n/a;-;None;None;;n/a;Physician;-
Asch D.A.;\cite{asch1994envelope};41;Printed;-;-;-;0;n/a;-;None;None;;n/a;Physician;-
Asch D. A.;\cite{asch1996use};76.5;Printed;8;-;10;2;30;-;1;Monetary;;Before;Nurse;-
Asch D. A.;\cite{asch1996use};69;Printed;8;-;10;2;30;-;1;Monetary;;Before;Nurse;-
Asch D. A.;\cite{asch1998conducting};45.9;Printed;4;-;-;3;21;-;2;Monetary;;Before;Physician;None
Asch D. A.;\cite{asch1998conducting};61.2;Printed;4;-;-;3;21;-;5;Monetary;;Before;Physician;None
Becker H.;\cite{becker2000mailed};34.3;Printed;4;-;-;0;n/a;-;None;None;;n/a;Nurse;Notified
Becker H.;\cite{becker2000mailed};36.4;Printed;4;-;-;0;n/a;-;None;None;;n/a;Nurse;Notified
Becker H.;\cite{becker2000mailed};38.7;Printed;4;-;-;1;42;-;None;None;;n/a;Nurse;Notified
Becker H.;\cite{becker2000mailed};38.9;Printed;4;-;-;1;42;-;None;None;;n/a;Nurse;Notified
Becker H.;\cite{becker2000mailed};42.7;Printed;4;-;-;2;42;-;None;None;;n/a;Nurse;Notified
Becker H.;\cite{becker2000mailed};45.8;Printed;4;-;-;2;42;-;None;None;;n/a;Nurse;Notified
Beebe T.J.;\cite{beebe2007mixing};62.9;Website;-;20;-;2;14;Likert scale;None;None;;n/a;Physician;Notified
Beebe T.J.;\cite{beebe2007mixing};70.5;Printed;-;20;-;2;14;Likert scale;None;None;;n/a;Physician;Notified
Berk M. L.;\cite{berk1985interviewing};74;-;-;-;-;-;-;-;None;None;;n/a;Physician;-
Berry S. H.;\cite{berry1987physician};77.4;Printed;32;-;25;3;28;-;20;Monetary;;Before;Physician;-
Berry S. H.;\cite{berry1987physician};65.9;Printed;32;-;25;3;28;-;20;Monetary;;After;Physician;-
Bhandari M.;\cite{bhandari2003randomized};59.7;Printed;5;-;-;0;n/a;-;None;None;;n/a;Surgeon;-
Bhandari M.;\cite{bhandari2003randomized};46.7;Printed;5;-;-;0;n/a;-;None;None;;n/a;Surgeon;-
Bostick R. M.;\cite{bostick1992using};65.6;Phone;-;-;20;0;n/a;-;None;None;;n/a;Physician;Notified
Bostick R. M.;\cite{bostick1992using};92;Phone;-;-;20;1;-;-;None;None;;n/a;Physician;Notified
Cartwright A.;\cite{cartwright1968variations};96;Printed;1;6;-;3;10;-;None;None;;n/a;Physician;-
Cartwright A.;\cite{cartwright1968variations};83;Printed;1;6;-;3;10;-;None;None;;n/a;Physician;-
Cartwright A.;\cite{cartwright1968variations};78;Printed;3;40;-;3;10;-;None;None;;n/a;Physician;-
Cartwright A.;\cite{cartwright1968variations};67;Printed;3;40;-;3;10;-;None;None;;n/a;Physician;-
del Valle M.;\cite{del1997randomized};65.9;Printed;6;-;-;2;-;-;45;Monetary;;Before/After;Physician;-
del Valle M.;\cite{del1997randomized};41.3;Printed;6;-;-;3;-;-;None;None;;n/a;Physician;-
del Valle M.;\cite{del1997randomized};24.8;Printed;6;-;-;3;-;-;None;None;;n/a;Physician;-
Donaldson G. W.;\cite{donaldson1999physician};48;Printed;-;-;5;1;28;-;None;None;;n/a;Physician;-
Donaldson G. W.;\cite{donaldson1999physician};55;Printed;-;-;5;1;28;-;5;Monetary;;Before;Physician;-
Donaldson G. W.;\cite{donaldson1999physician};43;Mixed;-;-;5;2;28;-;None;None;;n/a;Physician;-
Donaldson G. W.;\cite{donaldson1999physician};60;Mixed;-;-;5;2;28;-;5;Monetary;;Before;Physician;-
Dykema J.;\cite{dykema2011effects};3;Website;-;80;-;3;-;-;None;None;;n/a;Physician;None
Dykema J.;\cite{dykema2011effects};6.2;Website;-;80;-;3;-;-;2;Monetary;;Before;Physician;Notified
Dykema J.;\cite{dykema2011effects};6.2;Website;-;80;-;3;-;-;None;None;;n/a;Physician;Notified
Dykema J.;\cite{dykema2011effects};6.6;Website;-;80;-;3;-;-;Lottery;Lottery;200;n/a;Physician;Notified
Dykema J.;\cite{dykema2011effects};8.6;Website;-;80;-;3;-;-;2/Lottery;Monetary/Lottery;200;Before;Physician;Notified
Dykema J.;\cite{dykema2011effects};13.4;Website;-;80;-;3;-;-;50;Monetary;;After;Physician;Notified
Dykema J.;\cite{dykema2011effects};15.4;Website;-;80;-;3;-;-;2/50;Monetary;;Before/After;Physician;Notified
